label,ID
CSI-Negative,688103964429045760
CSI-Positive,806444821883691008
CSI-Negative,699040443040952320
CSI-Negative,804108553992605696
CSI-Negative,732998457162670080
CSI-Negative,808885741451411328
CSI-Negative,791393283297644544
CSI-Positive,755046988970950656
CSI-Negative,754629747846606848
CSI-Negative,771811682335141760
CSI-Negative,697406703793528832
CSI-Negative,762504919274303488
CSI-Negative,687556292374847488
CSI-Negative,726979672500641920
CSI-Negative,712598587025330176
CSI-Negative,720242143269236736
CSI-Positive,700129943049650176
CSI-Negative,741282076054454272
CSI-Negative,693907438416826368
CSI-Negative,729470211867303808
CSI-Negative,772044045497532416
CSI-Negative,709026581042339840
CSI-Negative,784770421279162368
CSI-Negative,714172251600523264
CSI-Positive,797993610176319488
CSI-Negative,734908496383234048
CSI-Positive,724413886938619904
CSI-Negative,756110574811910144
CSI-Positive,703837063380992000
CSI-Negative,712204361875767296
CSI-Negative,765711470688628608
CSI-Negative,706297597502296064
CSI-Positive,710042926932496384
CSI-Negative,741853439802671104
CSI-Negative,749628071062310912
CSI-Negative,747935655024439296
CSI-Negative,748035987738071040
CSI-Positive,702193580899590144
CSI-Negative,697482085091688448
CSI-Negative,745969261131161600
CSI-Negative,765983384036380672
CSI-Negative,750835933755248640
CSI-Negative,790018641857220608
CSI-Negative,760352674726354944
CSI-Negative,783613575902355456
CSI-Negative,743505230411636736
CSI-Negative,755826109862805504
CSI-Negative,766703005735333888
CSI-Positive,734379563631837184
CSI-Negative,696440961115807744
CSI-Negative,695173824615157760
CSI-Negative,699040443040952320
CSI-Negative,731160927572262912
CSI-Negative,815193501046435840
CSI-Negative,698428212544667648
CSI-Positive,775641776681996288
CSI-Positive,741408493349916672
CSI-Negative,761581621568868352
CSI-Positive,785365306180902912
CSI-Negative,730444819542081536
CSI-Negative,684336059015016448
CSI-Negative,798178695642910720
CSI-Negative,795513241468289024
CSI-Positive,777365742878597120
CSI-Negative,751010950623485952
CSI-Positive,751717603505168384
CSI-Negative,749162739050753920
CSI-Positive,723096465560637440
CSI-Negative,784153621185396736
CSI-Negative,785178765752168448
CSI-Negative,760320529978920960
CSI-Negative,693755283991052288
CSI-Negative,711292916879089664
CSI-Positive,790636637701169152
CSI-Positive,723497414531928064
CSI-Negative,801820505233911808
CSI-Negative,702705336327806976
CSI-Negative,721141928520204160
CSI-Negative,690220502795841536
CSI-Negative,738255910779379712
CSI-Negative,718584726198431744
CSI-Negative,694665380170719232
CSI-Negative,759335089570476032
CSI-Positive,712662732407898112
CSI-Negative,776153328275238912
CSI-Negative,780238555301818240
CSI-Negative,755646040687116160
CSI-Negative,770598090910863360
CSI-Negative,766659132137111552
CSI-Negative,803648882018316288
CSI-Negative,808292423352758272
CSI-Positive,691727269178413056
CSI-Negative,787959877226291200
CSI-Negative,799727826354126848
CSI-Negative,722758324022738944
CSI-Positive,723303598877188096
CSI-Negative,791416576138502144
CSI-Negative,735065596367233024
CSI-Negative,703088025446719488
CSI-Negative,735556878441295872
CSI-Negative,758632987495989120
CSI-Negative,755076344724074496
CSI-Positive,785715889115111424
CSI-Positive,748263548334182400
CSI-Positive,790016474945650688
CSI-Negative,814951997556174720
CSI-Negative,801846882255441920
CSI-Negative,738540573020164096
CSI-Negative,732189370623623040
CSI-Positive,766039311636508672
CSI-Negative,700010682230644736
CSI-Negative,715587422273187840
CSI-Negative,743871171574304768
CSI-Positive,795347526522175488
CSI-Negative,804253699400957952
CSI-Negative,755464363897675648
CSI-Positive,699979898283229184
CSI-Positive,804400817117593600
CSI-Negative,686178288914558976
CSI-Negative,712790907775483904
CSI-Negative,691006760912560128
CSI-Positive,709678808530444288
CSI-Negative,789019330625298432
CSI-Negative,791597563845541888
CSI-Negative,716908582600478720
CSI-Positive,792562722323955712
CSI-Negative,781406915850973184
CSI-Negative,706179224370069504
CSI-Negative,803973239466848256
CSI-Negative,781784270557810560
CSI-Negative,720182932934148096
CSI-Positive,808989997818900480
CSI-Negative,775346559126900608
CSI-Negative,789458927180275712
CSI-Negative,757972188074942464
CSI-Positive,754013218155094016
CSI-Negative,723641694449733632
CSI-Negative,690145671517708288
CSI-Negative,710059368566431744
CSI-Negative,767069051512295424
CSI-Negative,779066697613504512
CSI-Negative,753197299904372736
CSI-Negative,712695055580995584
CSI-Negative,715165233027936256
CSI-Negative,813368923139739648
CSI-Negative,696355914257924096
CSI-Positive,704286504990875648
CSI-Negative,693002811714465792
CSI-Negative,776580568997703680
CSI-Negative,739997339524288512
CSI-Negative,799912780274880512
CSI-Negative,781687486783352832
CSI-Negative,691775089071800320
CSI-Negative,740645051404046336
CSI-Negative,800760829301944320
CSI-Negative,688504473761771520
CSI-Positive,736404695741169664
CSI-Negative,804831371902517248
CSI-Positive,794706760401448960
CSI-Negative,774164445069062144
CSI-Positive,753032491066355712
CSI-Positive,782877123610574848
CSI-Negative,735666611101655040
CSI-Negative,736308018757931008
CSI-Negative,742832729151045632
CSI-Negative,754633559609008128
CSI-Positive,793607849972817920
CSI-Negative,707706689533808640
CSI-Positive,791567769812754432
CSI-Positive,793636532926222336
CSI-Negative,796502639391502208
CSI-Negative,791870132758863872
CSI-Negative,687987651333373952
CSI-Negative,742222517989867520
CSI-Positive,702616783723757568
CSI-Positive,727147135003705344
CSI-Positive,795994830807527424
CSI-Negative,753820406629359616
CSI-Negative,813319049555877888
CSI-Negative,810789121207783424
CSI-Negative,739383049348100096
CSI-Negative,733402509604098048
CSI-Negative,739356336274604032
CSI-Negative,789303391121989632
CSI-Negative,716949619800805376
CSI-Negative,694117806191820800
CSI-Negative,799278502486953984
CSI-Negative,800554388649635840
CSI-Negative,759052216925761408
CSI-Negative,712742298811965440
CSI-Negative,772773469142392832
CSI-Negative,730555129984782208
CSI-Negative,787340176624349184
CSI-Negative,733478357250105344
CSI-Negative,761877508430102528
CSI-Positive,734844253575217152
CSI-Negative,768576866752102400
CSI-Negative,746510750290690048
CSI-Negative,795291540574838784
CSI-Negative,793045034081787904
CSI-Negative,791187810619387904
CSI-Positive,732925808436744192
CSI-Negative,732281443397832704
CSI-Negative,741670054131961856
CSI-Negative,790244187866357760
CSI-Positive,712397527228633088
CSI-Negative,742305831077609472
CSI-Negative,769904652179484672
CSI-Negative,788215047231303680
CSI-Positive,705142649934577664
CSI-Negative,702715341181493248
CSI-Positive,684878544774631424
CSI-Negative,796152446330408960
CSI-Negative,696795951671828480
CSI-Negative,755452228811522048
CSI-Negative,753681794554294272
CSI-Positive,803490234260406272
CSI-Negative,742205040409075712
CSI-Negative,713909835193008128
CSI-Positive,796784880554307584
CSI-Positive,751359470870077440
CSI-Positive,797093700618846208
CSI-Positive,765302939531436032
CSI-Negative,803502402233958400
CSI-Negative,781754416600756224
CSI-Negative,716996254673162240
CSI-Negative,720673000132067328
CSI-Negative,810589323162714112
CSI-Positive,779769707477999616
CSI-Negative,758884425841213440
CSI-Negative,765034732413448192
CSI-Negative,775655368542257152
CSI-Negative,753130493957246976
CSI-Positive,792643250662223872
CSI-Negative,758823642625028096
CSI-Negative,730471005311770624
CSI-Negative,715915511234748416
CSI-Negative,814480788825600000
CSI-Negative,799331385890615296
CSI-Positive,768146738003775488
CSI-Negative,725965224218488832
CSI-Negative,806891089617526784
CSI-Negative,758498798859530240
CSI-Negative,808139555975163904
CSI-Negative,775156730665832448
CSI-Negative,768270426535501824
CSI-Negative,800559820420055040
CSI-Negative,698345571346735104
CSI-Negative,754535138130878464
CSI-Negative,801097115934003200
CSI-Negative,753851601685577728
CSI-Negative,779107540298719232
CSI-Positive,793692887498227712
CSI-Negative,756169974281039872
CSI-Negative,799205660927922176
CSI-Negative,777719099539480576
CSI-Negative,700079492539125760
CSI-Negative,704182123394039808
CSI-Positive,811098164572737536
CSI-Negative,717425991736537088
CSI-Negative,684453474331979776
CSI-Positive,739170949124218880
CSI-Negative,773569793173717120
CSI-Negative,726082067105218560
CSI-Negative,690141537037058048
CSI-Negative,685519410983997440
CSI-Negative,711970893048778752
CSI-Negative,805736730204766208
CSI-Negative,683612379427520512
CSI-Negative,808731403651321728
CSI-Negative,695482315498127360
CSI-Negative,737213656715399040
CSI-Negative,696740337516204032
CSI-Negative,771345300464148480
CSI-Negative,719571611339395072
CSI-Negative,766243246381080448
CSI-Negative,758554122903625728
CSI-Negative,731926436605530112
CSI-Negative,699616937677103104
CSI-Negative,742960085027201024
CSI-Negative,731162031617937408
CSI-Negative,790875564026372096
CSI-Negative,728690546818981888
CSI-Negative,809543014251008000
CSI-Negative,712416872981876736
CSI-Negative,693954017261686784
CSI-Negative,763880362019659648
CSI-Positive,684580800784801792
CSI-Positive,804219113002430464
CSI-Negative,747762982432681984
CSI-Positive,797736064404353024
CSI-Negative,809091155342327808
CSI-Positive,793401823772155904
CSI-Negative,745996921047638016
CSI-Negative,745272129835278208
CSI-Negative,755936782827524096
CSI-Negative,752229338200862720
CSI-Negative,722705407349821440
CSI-Negative,725360318558265344
CSI-Negative,756996646915964928
CSI-Negative,772245269542993920
CSI-Negative,766648088991674240
CSI-Negative,776101318335270912
CSI-Negative,750046549141491712
CSI-Positive,812121659255771008
CSI-Negative,703043746263240704
CSI-Negative,779394786893574144
CSI-Negative,690989888896786432
CSI-Positive,812510957066981376
CSI-Positive,762749918490484736
CSI-Negative,721840084673306624
CSI-Positive,766355417857392640
CSI-Negative,709391945026514944
CSI-Negative,683762672832139264
CSI-Negative,798205411195256832
CSI-Negative,768820216503476224
CSI-Negative,711603060846534656
CSI-Positive,758232742081490944
CSI-Negative,811989036353146880
CSI-Positive,711961588715163648
CSI-Positive,755284771513643008
CSI-Positive,684686336226242560
CSI-Negative,775500597692739584
CSI-Negative,773903769817919488
CSI-Positive,707654400043569152
CSI-Positive,776460430143266816
CSI-Negative,692885306354176000
CSI-Negative,738349602080837632
CSI-Negative,717144410572660736
CSI-Negative,781158984048742400
CSI-Negative,793374539476529152
CSI-Negative,709653817101398016
CSI-Negative,772915503610290048
CSI-Negative,711326742552555520
CSI-Negative,732282538140536832
CSI-Positive,811886108485287936
CSI-Negative,701389667858587648
CSI-Negative,794917669627695104
CSI-Negative,788237436665016320
CSI-Negative,791523885887922176
CSI-Negative,685402152735477760
CSI-Negative,800396733629038720
CSI-Negative,722750276222984192
CSI-Negative,735816897145376768
CSI-Negative,766142777293885440
CSI-Negative,765254433420742656
CSI-Negative,736673250227392512
CSI-Negative,762932054526873600
CSI-Negative,708130397566193664
